DIAG SET 1: JJA MEANS GLOBAL
 
TEST CASE: corey33 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2030-2069)
 
Variable          corey33        b.e11.TSREFC2.f09.g16.ccmi23.002        corey33        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM            -9.169              -9.487             0.318         3.119
RESSURF          -10.082             -10.462             0.380         5.680
SOLIN            330.385             330.385             0.000         0.000
AAM            1.187e+26           1.231e+26        -4.446e+24      -999.000
CHI_200            0.038               0.035             0.002         0.630
CLDHGH            30.482              30.338             0.144         1.860
CLDLOW            35.686              35.811            -0.125         1.584
CLDMED            15.958              15.769             0.190         1.623
CLDTOT            54.225              54.154             0.071         1.736
EKE_850           28.090              27.920             0.170         1.639
EP             1.289e-02           1.187e-02         1.027e-03         0.476
FLNS              57.629              56.967             0.662         1.910
FLNSC             80.910              79.980             0.930         1.891
FLNT             236.633             237.835            -1.202         2.948
FLNTC            266.545             267.675            -1.130         1.590
FSDS             171.223             170.685             0.538         3.824
FSDSC            235.301             234.617             0.684         1.136
FSNS             151.149             151.592            -0.443         3.935
FSNSC            208.607             209.213            -0.606         3.809
FSNSC_ICE         44.019              46.715            -2.696         4.360
FSNSC_LAND       215.100             214.569             0.531         1.536
FSNT             227.465             228.348            -0.884         3.766
FSNTC            281.254             282.361            -1.107         3.697
ICEAREA           24.394              22.795             1.600         0.068
LHFLX             84.109              85.642            -1.534         5.923
LWCF              29.912              29.840             0.072         2.033
PRECT              2.874               2.928            -0.055         0.465
PRECT_LAND         2.434               2.412             0.022         0.288
PRECT_OCEAN        3.164               3.249            -0.084         0.541
PREH2O            28.521              29.611            -1.091         1.552
PREH2O_OCEAN      31.363              32.597            -1.234         1.786
PSI_200           -0.074              -0.074            -0.000         0.274
PS               985.683             985.790            -0.107         0.659
PSL             1011.050            1011.132            -0.082         0.697
QFLX               2.886               2.940            -0.054         0.179
SHFLX             19.494              19.444             0.050         2.229
SNOWHLND          10.259              10.168             0.092         1.591
SST               20.427              20.997            -0.570         0.695
STRESS_MAG         0.078               0.077             0.001         0.008
SWCF             -53.789             -54.012             0.223         3.464
T_850            284.086             284.673            -0.587         0.691
TGCLDLWP         141.254             142.581            -1.326        11.947
TGCLDIWP          16.268              16.086             0.182         1.349
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           290.041             290.608            -0.567         0.712
TS               290.725             291.297            -0.572         0.744
TS_LAND          289.828             290.324            -0.495         0.643
U_200             13.200              13.681            -0.480         1.382
VT_850             0.995               0.928             0.067         0.687
Z3_500            57.171              57.302            -0.131         0.155
