DIAG SET 1: MAM MEANS GLOBAL
 
TEST CASE: corey33 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2030-2069)
 
Variable          corey33        b.e11.TSREFC2.f09.g16.ccmi23.002        corey33        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM             2.362               2.135             0.227         3.849
RESSURF           -0.437              -0.426            -0.011         4.379
SOLIN            338.254             338.254             0.000         0.000
AAM            1.572e+26           1.572e+26         2.435e+22      -999.000
CHI_200            0.011               0.004             0.007         0.627
CLDHGH            28.974              28.724             0.250         2.040
CLDLOW            31.287              31.516            -0.229         1.530
CLDMED            15.899              15.723             0.176         1.512
CLDTOT            49.633              49.639            -0.006         1.765
EKE_850           28.257              28.139             0.118         1.508
EP             2.023e-02           1.925e-02         9.767e-04         0.444
FLNS              60.544              59.714             0.829         1.814
FLNSC             82.575              81.490             1.085         1.881
FLNT             232.682             234.099            -1.417         2.963
FLNTC            262.020             263.246            -1.226         1.619
FSDS             185.539             184.720             0.819         3.649
FSDSC            244.304             243.512             0.792         1.123
FSNS             160.117             160.826            -0.710         4.361
FSNSC            212.655             213.760            -1.105         5.486
FSNSC_ICE         39.254              39.782            -0.528         3.250
FSNSC_LAND       190.548             190.291             0.257         1.905
FSNT             235.044             236.235            -1.191         4.225
FSNTC            284.090             285.716            -1.626         5.414
ICEAREA           23.109              21.697             1.412         0.056
LHFLX             82.026              83.568            -1.542         5.611
LWCF              29.338              29.147             0.191         2.094
PRECT              2.788               2.843            -0.055         0.437
PRECT_LAND         2.289               2.289             0.000         0.265
PRECT_OCEAN        3.109               3.187            -0.078         0.509
PREH2O            25.982              27.185            -1.202         1.762
PREH2O_OCEAN      30.574              31.967            -1.393         2.052
PSI_200           -0.021              -0.021             0.000         0.183
PS               985.434             985.552            -0.118         0.612
PSL             1011.155            1011.252            -0.097         0.610
QFLX               2.808               2.862            -0.054         0.171
SHFLX             17.984              17.970             0.014         1.685
SNOWHLND          12.415              12.271             0.144         1.665
SST               20.736              21.354            -0.618         0.781
STRESS_MAG         0.067               0.065             0.002         0.007
SWCF             -49.046             -49.482             0.435         3.456
T_850            282.066             282.676            -0.610         0.740
TGCLDLWP         128.801             130.163            -1.362        10.146
TGCLDIWP          17.677              17.346             0.331         1.351
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           288.004             288.587            -0.582         0.760
TS               288.725             289.319            -0.594         0.797
TS_LAND          282.772             283.244            -0.472         0.697
U_200             17.038              16.977             0.061         1.396
VT_850             0.233               0.166             0.066         0.600
Z3_500            56.751              56.897            -0.146         0.165
