DIAG SET 1: SON MEANS GLOBAL
 
TEST CASE: corey33 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2030-2069)
 
Variable          corey33        b.e11.TSREFC2.f09.g16.ccmi23.002        corey33        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM             2.256               3.041            -0.785         5.582
RESSURF            6.709               7.436            -0.727         5.341
SOLIN            342.177             342.177             0.000         0.000
AAM            1.397e+26           1.453e+26        -5.675e+24      -999.000
CHI_200            0.015               0.017            -0.002         0.440
CLDHGH            28.357              28.364            -0.007         2.094
CLDLOW            32.807              32.869            -0.062         1.597
CLDMED            15.785              15.645             0.140         1.547
CLDTOT            50.366              50.381            -0.016         1.891
EKE_850           27.399              27.450            -0.051         1.523
EP            -3.917e-02          -3.778e-02        -1.396e-03         0.455
FLNS              59.293              58.631             0.662         1.719
FLNSC             82.019              81.104             0.915         1.642
FLNT             233.700             234.751            -1.050         2.826
FLNTC            262.081             263.154            -1.074         1.406
FSDS             186.891             186.036             0.855         4.185
FSDSC            249.455             248.602             0.853         1.278
FSNS             161.722             163.155            -1.432         6.385
FSNSC            217.627             219.645            -2.017         8.482
FSNSC_ICE         46.320              45.548             0.773         5.027
FSNSC_LAND       166.602             166.065             0.536         1.083
FSNT             235.956             237.791            -1.835         6.079
FSNTC            287.931             290.401            -2.470         8.141
ICEAREA           24.448              22.930             1.518         0.067
LHFLX             79.613              81.030            -1.416         5.399
LWCF              28.381              28.404            -0.023         2.193
PRECT              2.772               2.820            -0.048         0.422
PRECT_LAND         2.459               2.469            -0.010         0.285
PRECT_OCEAN        3.002               3.062            -0.060         0.485
PREH2O            26.173              27.213            -1.040         1.475
PREH2O_OCEAN      30.159              31.340            -1.181         1.695
PSI_200           -0.043              -0.043            -0.000         0.248
PS               985.452             985.554            -0.102         0.535
PSL             1011.124            1011.208            -0.084         0.542
QFLX               2.732               2.782            -0.049         0.155
SHFLX             16.107              16.058             0.049         1.737
SNOWHLND          10.375              10.294             0.081         1.589
SST               20.295              20.874            -0.579         0.706
STRESS_MAG         0.072               0.069             0.002         0.007
SWCF             -51.975             -52.610             0.635         4.299
T_850            281.947             282.480            -0.534         0.635
TGCLDLWP         134.823             136.109            -1.286        10.696
TGCLDIWP          17.182              16.992             0.190         1.342
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           288.017             288.546            -0.529         0.646
TS               288.698             289.239            -0.540         0.680
TS_LAND          283.372             283.781            -0.409         0.537
U_200             15.413              15.830            -0.418         1.388
VT_850             0.073               0.024             0.049         0.611
Z3_500            56.773              56.899            -0.126         0.144
