DIAG SET 1: JJA MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: corey33 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2030-2069)
 
Variable          corey33        b.e11.TSREFC2.f09.g16.ccmi23.002        corey33        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM            52.414              51.865             0.549         2.394
RESSURF           54.743              54.958            -0.215         2.373
SOLIN            445.896             445.896             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -3.951              -3.667            -0.284         0.513
CLDHGH            25.249              25.091             0.157         1.577
CLDLOW            37.533              37.691            -0.158         1.376
CLDMED            13.482              13.396             0.086         0.997
CLDTOT            52.455              52.335             0.120         1.598
EKE_850           19.103              19.237            -0.135         0.897
EP            -2.313e-01          -2.547e-01         2.341e-02         0.222
FLNS              59.521              59.401             0.121         2.052
FLNSC             83.856              83.555             0.301         1.640
FLNT             249.432             250.211            -0.778         2.564
FLNTC            274.664             275.267            -0.603         1.273
FSDS             232.559             232.076             0.483         3.976
FSDSC            319.854             319.457             0.397         1.091
FSNS             197.278             197.163             0.116         3.523
FSNSC            273.392             273.577            -0.185         2.455
FSNSC_ICE        126.482             130.749            -4.267         7.420
FSNSC_LAND       257.037             256.784             0.253         1.623
FSNT             301.847             302.076            -0.229         3.110
FSNTC            371.302             371.853            -0.552         2.374
ICEAREA            8.813               8.592             0.220         0.027
LHFLX             55.034              54.804             0.230         2.703
LWCF              25.231              25.056             0.175         1.561
PRECT              2.158               2.176            -0.019         0.216
PRECT_LAND         2.458               2.453             0.005         0.241
PRECT_OCEAN        1.964               2.010            -0.046         0.202
PREH2O            28.334              28.771            -0.437         0.838
PREH2O_OCEAN      32.699              33.280            -0.581         0.901
PSI_200           -4.265              -4.599             0.334         0.355
PS               975.624             975.990            -0.366         0.522
PSL             1013.222            1013.580            -0.359         0.521
QFLX               1.926               1.922             0.005         0.081
SHFLX             27.979              27.999            -0.020         1.459
SNOWHLND           2.401               2.236             0.165         2.142
SST               20.215              20.408            -0.194         0.386
STRESS_MAG         0.048               0.046             0.001         0.003
SWCF             -69.455             -69.777             0.322         3.168
T_850            288.166             288.438            -0.272         0.428
TGCLDLWP         135.714             136.603            -0.890         8.679
TGCLDIWP          13.955              13.854             0.102         0.896
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           292.847             293.098            -0.251         0.425
TS               293.431             293.680            -0.249         0.443
TS_LAND          296.707             297.020            -0.314         0.509
U_200              9.104               9.610            -0.506         1.042
VT_850             0.137               0.116             0.021         0.570
Z3_500            58.083              58.170            -0.088         0.101
