DIAG SET 1: MAM MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: corey33 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2030-2069)
 
Variable          corey33        b.e11.TSREFC2.f09.g16.ccmi23.002        corey33        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM            18.272              17.507             0.765         2.216
RESSURF           18.234              18.207             0.027         2.864
SOLIN            367.642             367.642             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            0.943               1.412            -0.470         0.557
CLDHGH            24.942              24.297             0.645         1.722
CLDLOW            27.490              27.883            -0.393         1.305
CLDMED            15.183              14.950             0.232         1.055
CLDTOT            43.973              43.784             0.189         1.632
EKE_850           33.565              33.517             0.048         1.463
EP             1.430e-02           2.388e-02        -9.575e-03         0.158
FLNS              70.094              69.909             0.185         1.447
FLNSC             92.923              92.693             0.230         1.000
FLNT             228.004             229.212            -1.208         2.207
FLNTC            251.501             252.272            -0.770         1.326
FSDS             209.774             209.225             0.549         2.884
FSDSC            268.545             267.996             0.549         0.880
FSNS             165.859             165.822             0.037         2.736
FSNSC            215.580             215.646            -0.066         3.089
FSNSC_ICE         48.699              48.388             0.312         3.332
FSNSC_LAND       194.293             194.350            -0.057         2.477
FSNT             246.276             246.719            -0.443         2.506
FSNTC            290.970             291.496            -0.526         2.991
ICEAREA           14.265              13.983             0.282         0.044
LHFLX             53.081              53.331            -0.250         2.306
LWCF              23.497              23.060             0.438         1.388
PRECT              1.786               1.785             0.001         0.146
PRECT_LAND         1.532               1.529             0.003         0.141
PRECT_OCEAN        2.239               2.243            -0.004         0.160
PREH2O            15.260              15.509            -0.249         0.456
PREH2O_OCEAN      21.026              21.305            -0.279         0.567
PSI_200           -7.958              -7.976             0.018         0.144
PS               976.921             977.287            -0.366         0.780
PSL             1015.807            1016.156            -0.348         0.774
QFLX               1.800               1.809            -0.009         0.070
SHFLX             24.450              24.375             0.075         1.483
SNOWHLND           6.498               6.235             0.263         2.235
SST               16.554              16.727            -0.173         0.407
STRESS_MAG         0.045               0.046            -0.001         0.005
SWCF             -44.694             -44.777             0.083         2.407
T_850            277.385             277.657            -0.272         0.477
TGCLDLWP         115.955             116.992            -1.037         6.925
TGCLDIWP          20.510              20.196             0.314         1.175
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           282.080             282.330            -0.250         0.559
TS               282.613             282.858            -0.246         0.575
TS_LAND          281.098             281.353            -0.254         0.627
U_200             20.744              21.149            -0.405         1.240
VT_850             0.468               0.453             0.015         0.650
Z3_500            56.151              56.246            -0.095         0.132
