DIAG SET 1: SON MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: corey33 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2030-2069)
 
Variable          corey33        b.e11.TSREFC2.f09.g16.ccmi23.002        corey33        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM           -68.015             -68.663             0.648         1.478
RESSURF          -36.252             -36.268             0.016         3.737
SOLIN            239.469             239.469             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -1.435              -1.276            -0.159         0.356
CLDHGH            24.677              24.812            -0.135         1.278
CLDLOW            29.239              29.710            -0.471         1.328
CLDMED            14.939              14.917             0.023         0.924
CLDTOT            44.708              45.089            -0.380         1.378
EKE_850           30.119              30.372            -0.253         1.469
EP             5.170e-03          -1.307e-02         1.824e-02         0.211
FLNS              64.173              63.715             0.458         1.485
FLNSC             86.969              86.635             0.334         1.182
FLNT             232.546             232.990            -0.443         1.720
FLNTC            256.345             256.943            -0.598         1.054
FSDS             129.200             128.582             0.618         2.062
FSDSC            168.547             168.201             0.346         0.583
FSNS             110.974             110.471             0.503         1.803
FSNSC            145.482             145.263             0.219         0.774
FSNSC_ICE         10.350              10.245             0.106         1.274
FSNSC_LAND       129.544             129.294             0.250         0.890
FSNT             164.531             164.327             0.205         1.628
FSNTC            197.502             197.588            -0.086         0.603
ICEAREA            8.664               8.380             0.285         0.036
LHFLX             65.609              65.683            -0.075         2.954
LWCF              23.799              23.954            -0.155         1.247
PRECT              2.233               2.257            -0.024         0.212
PRECT_LAND         1.652               1.672            -0.020         0.184
PRECT_OCEAN        2.963               2.987            -0.025         0.245
PREH2O            20.086              20.497            -0.412         0.712
PREH2O_OCEAN      26.754              27.289            -0.534         0.868
PSI_200           -6.119              -6.412             0.292         0.318
PS               976.918             977.194            -0.276         0.554
PSL             1015.825            1016.091            -0.266         0.551
QFLX               2.238               2.244            -0.006         0.093
SHFLX             17.444              17.341             0.103         1.366
SNOWHLND           2.614               2.466             0.147         2.148
SST               19.858              20.064            -0.206         0.379
STRESS_MAG         0.048               0.048             0.000         0.005
SWCF             -32.970             -33.261             0.291         1.682
T_850            279.677             279.932            -0.255         0.401
TGCLDLWP         130.990             133.286            -2.296         8.117
TGCLDIWP          18.950              18.891             0.059         0.993
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           284.840             285.109            -0.269         0.461
TS               285.421             285.688            -0.267         0.482
TS_LAND          281.313             281.557            -0.244         0.432
U_200             17.808              18.225            -0.417         1.231
VT_850             0.121               0.124            -0.002         0.588
Z3_500            56.720              56.806            -0.086         0.113
