DIAG SET 1: ANN MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: corey33 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2030-2069)
 
Variable          corey33        b.e11.TSREFC2.f09.g16.ccmi23.002        corey33        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM           -23.284             -20.981            -2.304         7.016
RESSURF           -4.643              -3.497            -1.146         4.006
SOLIN            305.490             305.490             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            0.836               0.568             0.269         0.464
CLDHGH            25.315              25.415            -0.100         1.491
CLDLOW            39.472              39.766            -0.294         1.268
CLDMED            15.679              15.580             0.099         1.144
CLDTOT            53.449              53.699            -0.250         1.300
EKE_850           44.320              43.949             0.371         1.593
EP             1.077e-01           1.115e-01        -3.861e-03         0.234
FLNS              60.187              59.144             1.043         1.744
FLNSC             88.960              87.746             1.214         1.867
FLNT             224.880             226.282            -1.402         2.176
FLNTC            249.045             250.677            -1.632         1.730
FSDS             168.454             166.429             2.025         4.060
FSDSC            226.655             225.504             1.151         1.601
FSNS             138.500             141.881            -3.381         7.496
FSNSC            188.627             194.153            -5.526        11.324
FSNSC_ICE         61.042              60.711             0.331         3.679
FSNSC_LAND       130.004             129.595             0.409         0.572
FSNT             201.596             205.302            -3.706         7.327
FSNTC            247.233             253.063            -5.830        11.078
ICEAREA           12.058              10.888             1.169         0.057
LHFLX             70.624              73.825            -3.201         6.331
LWCF              24.165              24.395            -0.230         1.536
PRECT              2.280               2.387            -0.107         0.304
PRECT_LAND         1.652               1.692            -0.040         0.147
PRECT_OCEAN        2.462               2.582            -0.121         0.344
PREH2O            17.101              18.392            -1.291         1.708
PREH2O_OCEAN      19.483              20.868            -1.385         1.916
PSI_200            7.253               7.340            -0.086         0.133
PS               983.583             983.481             0.102         0.647
PSL             1007.298            1007.156             0.141         0.669
QFLX               2.388               2.499            -0.111         0.214
SHFLX             12.332              12.409            -0.077         1.595
SNOWHLND          46.959              46.939             0.021         0.750
SST               14.778              15.632            -0.854         0.952
STRESS_MAG         0.094               0.092             0.002         0.007
SWCF             -45.638             -47.762             2.124         4.538
T_850            276.145             276.977            -0.832         0.877
TGCLDLWP         141.187             144.767            -3.580         9.820
TGCLDIWP          20.398              20.132             0.266         1.259
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           281.176             281.997            -0.822         0.888
TS               281.706             282.555            -0.849         0.939
TS_LAND          266.540             267.261            -0.722         0.744
U_200             25.551              25.612            -0.062         1.187
VT_850            -0.212              -0.207            -0.005         0.561
Z3_500            55.200              55.370            -0.170         0.182
