DIAG SET 1: DJF MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: corey33 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2030-2069)
 
Variable          corey33        b.e11.TSREFC2.f09.g16.ccmi23.002        corey33        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM            72.167              76.558            -4.391        10.503
RESSURF           81.217              84.096            -2.879         7.019
SOLIN            471.643             471.643             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -2.930              -3.119             0.189         0.437
CLDHGH            20.956              21.265            -0.310         1.710
CLDLOW            42.596              42.604            -0.008         1.756
CLDMED            13.647              13.658            -0.011         1.510
CLDTOT            53.065              53.300            -0.235         1.855
EKE_850           29.772              29.782            -0.010         1.811
EP            -2.628e-02          -2.057e-02        -5.709e-03         0.353
FLNS              56.222              54.978             1.245         2.270
FLNSC             85.659              84.070             1.588         2.279
FLNT             235.976             237.187            -1.211         2.331
FLNTC            258.397             259.937            -1.540         1.664
FSDS             262.488             259.524             2.964         6.587
FSDSC            356.330             354.604             1.727         2.376
FSNS             211.138             216.222            -5.084        11.273
FSNSC            292.491             300.719            -8.228        16.670
FSNSC_ICE        121.837             122.678            -0.841         9.629
FSNSC_LAND       190.893             190.167             0.726         1.396
FSNT             308.143             313.745            -5.602        10.997
FSNTC            380.640             389.336            -8.696        16.285
ICEAREA            7.980               7.054             0.926         0.049
LHFLX             62.869              65.994            -3.125         7.187
LWCF              22.421              22.751            -0.329         1.764
PRECT              2.178               2.281            -0.103         0.362
PRECT_LAND         2.717               2.750            -0.033         0.295
PRECT_OCEAN        2.095               2.215            -0.120         0.388
PREH2O            21.182              22.767            -1.585         2.139
PREH2O_OCEAN      22.907              24.561            -1.654         2.367
PSI_200            6.637               6.705            -0.068         0.146
PS               983.711             983.619             0.093         0.756
PSL             1007.015            1006.893             0.122         0.746
QFLX               2.152               2.260            -0.109         0.231
SHFLX             10.830              11.155            -0.325         1.397
SNOWHLND          46.921              46.901             0.021         0.777
SST               16.116              17.052            -0.936         1.054
STRESS_MAG         0.084               0.079             0.005         0.008
SWCF             -72.497             -75.591             3.094         7.152
T_850            279.367             280.229            -0.863         0.928
TGCLDLWP         145.164             147.577            -2.413        11.758
TGCLDIWP          16.624              16.415             0.209         1.327
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           284.888             285.695            -0.807         0.898
TS               285.369             286.219            -0.850         0.968
TS_LAND          276.171             276.903            -0.732         0.789
U_200             19.658              19.881            -0.224         1.029
VT_850            -0.086              -0.098             0.012         0.816
Z3_500            55.920              56.095            -0.175         0.184
