DIAG SET 1: JJA MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: corey33 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2030-2069)
 
Variable          corey33        b.e11.TSREFC2.f09.g16.ccmi23.002        corey33        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM          -110.613            -110.415            -0.197         4.034
RESSURF          -82.847             -83.655             0.807         7.394
SOLIN            154.664             154.664             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            4.592               4.290             0.303         0.551
CLDHGH            31.465              31.282             0.183         1.784
CLDLOW            37.716              38.158            -0.443         1.425
CLDMED            17.627              17.472             0.155         1.406
CLDTOT            56.227              56.308            -0.081         1.421
EKE_850           55.906              55.268             0.638         2.513
EP             1.831e-01           1.896e-01        -6.495e-03         0.269
FLNS              62.875              62.048             0.827         1.767
FLNSC             91.958              91.119             0.839         1.850
FLNT             214.537             216.053            -1.516         2.527
FLNTC            241.314             242.990            -1.676         1.929
FSDS              81.746              80.579             1.167         2.637
FSDSC            108.915             108.316             0.599         0.927
FSNS              71.095              72.607            -1.512         4.057
FSNSC             94.406              97.076            -2.669         6.011
FSNSC_ICE          2.558               2.387             0.172         0.304
FSNSC_LAND        77.375              77.182             0.193         0.415
FSNT             103.925             105.638            -1.713         3.991
FSNTC            126.470             129.345            -2.874         5.964
ICEAREA           15.582              14.203             1.379         0.088
LHFLX             77.553              80.773            -3.220         7.444
LWCF              26.777              26.937            -0.160         1.747
PRECT              2.425               2.530            -0.105         0.332
PRECT_LAND         0.866               0.908            -0.042         0.154
PRECT_OCEAN        2.860               2.971            -0.111         0.377
PREH2O            13.503              14.517            -1.015         1.367
PREH2O_OCEAN      16.026              17.085            -1.059         1.536
PSI_200            7.198               7.410            -0.212         0.252
PS               983.767             983.651             0.116         0.973
PSL             1007.779            1007.605             0.174         1.052
QFLX               2.608               2.719            -0.112         0.248
SHFLX             13.514              13.439             0.074         3.147
SNOWHLND          46.982              46.961             0.021         0.748
SST               13.274              14.048            -0.774         0.858
STRESS_MAG         0.104               0.104             0.000         0.011
SWCF             -22.546             -23.707             1.161         2.718
T_850            273.277             274.085            -0.808         0.861
TGCLDLWP         140.062             144.985            -4.924        11.273
TGCLDIWP          23.230              23.021             0.208         1.648
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           278.053             278.887            -0.833         0.947
TS               278.626             279.477            -0.851         1.003
TS_LAND          259.270             259.984            -0.713         0.792
U_200             30.347              30.347            -0.000         1.638
VT_850            -0.366              -0.358            -0.009         0.830
Z3_500            54.598              54.757            -0.159         0.199
