DIAG SET 1: MAM MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: corey33 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2030-2069)
 
Variable          corey33        b.e11.TSREFC2.f09.g16.ccmi23.002        corey33        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM           -69.453             -68.414            -1.039         5.713
RESSURF          -43.813             -43.746            -0.067         4.706
SOLIN            232.634             232.634             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.313              -0.776             0.463         0.660
CLDHGH            24.022              24.126            -0.104         1.949
CLDLOW            38.641              39.143            -0.503         1.561
CLDMED            16.114              16.000             0.114         1.387
CLDTOT            51.833              52.302            -0.469         1.698
EKE_850           42.342              42.017             0.325         1.822
EP             1.509e-01           1.457e-01         5.205e-03         0.305
FLNS              59.186              57.817             1.369         2.201
FLNSC             86.937              85.394             1.543         2.356
FLNT             225.946             227.647            -1.701         2.756
FLNTC            250.271             252.121            -1.850         1.994
FSDS             123.369             121.623             1.746         3.845
FSDSC            167.453             166.451             1.002         1.431
FSNS             106.900             109.284            -2.384         5.897
FSNSC            145.496             149.570            -4.073         8.979
FSNSC_ICE         21.710              21.135             0.575         3.066
FSNSC_LAND       103.731             103.386             0.344         0.524
FSNT             156.493             159.233            -2.740         5.849
FSNTC            192.938             197.375            -4.437         8.923
ICEAREA            8.843               7.714             1.129         0.066
LHFLX             79.397              83.064            -3.668         7.313
LWCF              24.325              24.474            -0.149         1.984
PRECT              2.533               2.667            -0.134         0.392
PRECT_LAND         1.536               1.579            -0.043         0.207
PRECT_OCEAN        2.783               2.936            -0.152         0.435
PREH2O            18.690              20.265            -1.575         2.079
PREH2O_OCEAN      21.002              22.638            -1.636         2.281
PSI_200            7.896               7.755             0.141         0.198
PS               983.558             983.450             0.107         0.661
PSL             1007.410            1007.270             0.140         0.667
QFLX               2.684               2.813            -0.129         0.249
SHFLX             12.130              12.149            -0.019         1.838
SNOWHLND          46.933              46.909             0.025         0.829
SST               15.758              16.663            -0.904         1.021
STRESS_MAG         0.093               0.092             0.002         0.008
SWCF             -36.445             -38.142             1.697         4.015
T_850            277.074             278.009            -0.935         0.994
TGCLDLWP         144.877             148.799            -3.922        11.535
TGCLDIWP          20.766              20.325             0.441         1.545
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           282.021             282.942            -0.921         1.015
TS               282.608             283.556            -0.948         1.074
TS_LAND          264.182             265.026            -0.844         0.897
U_200             24.774              24.616             0.158         1.613
VT_850            -0.157              -0.139            -0.017         0.637
Z3_500            55.381              55.577            -0.197         0.206
