DIAG SET 1: SON MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: corey33 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2030-2069)
 
Variable          corey33        b.e11.TSREFC2.f09.g16.ccmi23.002        corey33        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM            17.291              20.914            -3.623         9.132
RESSURF           29.111              31.599            -2.488         6.095
SOLIN            367.302             367.302             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            1.923               1.806             0.117         0.414
CLDHGH            24.732              24.902            -0.171         2.028
CLDLOW            38.972              39.202            -0.230         1.562
CLDMED            15.284              15.139             0.145         1.390
CLDTOT            52.640              52.867            -0.226         1.820
EKE_850           42.355              42.197             0.158         1.863
EP             1.202e-01           1.298e-01        -9.686e-03         0.298
FLNS              62.424              61.680             0.744         1.893
FLNSC             91.256              90.367             0.888         1.638
FLNT             223.265             224.453            -1.188         2.447
FLNTC            246.365             247.832            -1.467         1.606
FSDS             208.731             206.465             2.266         5.351
FSDSC            277.305             276.016             1.290         1.828
FSNS             166.769             171.348            -4.579        10.119
FSNSC            224.760             231.970            -7.210        14.690
FSNSC_ICE         63.055              62.805             0.250         6.064
FSNSC_LAND       149.540             149.182             0.358         0.548
FSNT             240.555             245.366            -4.811         9.645
FSNTC            292.249             299.644            -7.395        14.140
ICEAREA           15.784              14.551             1.233         0.079
LHFLX             62.407              65.202            -2.795         6.047
LWCF              23.100              23.379            -0.279         1.957
PRECT              1.978               2.064            -0.086         0.317
PRECT_LAND         1.508               1.551            -0.043         0.164
PRECT_OCEAN        2.101               2.195            -0.095         0.361
PREH2O            15.088              16.074            -0.987         1.389
PREH2O_OCEAN      17.337              18.392            -1.055         1.576
PSI_200            7.264               7.477            -0.214         0.246
PS               983.300             983.200             0.100         0.671
PSL             1006.983            1006.846             0.136         0.695
QFLX               2.098               2.194            -0.096         0.196
SHFLX             12.826              12.867            -0.041         2.040
SNOWHLND          47.001              46.984             0.016         0.682
SST               13.145              13.920            -0.776         0.870
STRESS_MAG         0.104               0.102             0.003         0.008
SWCF             -51.694             -54.278             2.584         5.983
T_850            274.925             275.652            -0.727         0.785
TGCLDLWP         134.607             137.627            -3.020        12.010
TGCLDIWP          20.903              20.690             0.213         1.688
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           279.802             280.524            -0.722         0.793
TS               280.280             281.027            -0.747         0.843
TS_LAND          266.735             267.334            -0.599         0.635
U_200             27.318              27.498            -0.180         1.588
VT_850            -0.240              -0.233            -0.006         0.664
Z3_500            54.914              55.061            -0.147         0.169
