DIAG SET 1: ANN MEANS TROPICS (20N-20S)
 
TEST CASE: corey33 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2030-2069)
 
Variable          corey33        b.e11.TSREFC2.f09.g16.ccmi23.002        corey33        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM            49.208              48.345             0.863         2.146
RESSURF           16.019              15.506             0.513         3.900
SOLIN            408.204             408.204             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.531              -0.545             0.015         0.475
CLDHGH            36.576              36.294             0.281         1.671
CLDLOW            29.461              29.166             0.294         1.490
CLDMED            16.936              16.733             0.204         1.645
CLDTOT            53.571              53.206             0.365         1.495
EKE_850           15.129              15.082             0.047         1.034
EP            -9.102e-02          -8.348e-02        -7.533e-03         0.503
FLNS              52.253              51.348             0.905         1.539
FLNSC             68.479              66.927             1.552         1.971
FLNT             244.127             245.604            -1.476         2.809
FLNTC            283.133             284.280            -1.147         1.341
FSDS             215.459             215.466            -0.007         3.269
FSDSC            292.241             291.342             0.899         0.997
FSNS             199.979             199.944             0.034         3.050
FSNSC            272.203             271.351             0.851         0.945
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       245.879             244.861             1.018         1.174
FSNT             293.335             293.949            -0.613         2.906
FSNTC            362.110             362.072             0.038         0.229
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            114.524             115.937            -1.413         4.639
LWCF              39.006              38.676             0.330         1.903
PRECT              4.060               4.100            -0.040         0.461
PRECT_LAND         4.260               4.195             0.065         0.295
PRECT_OCEAN        3.990               4.065            -0.075         0.502
PREH2O            42.796              44.583            -1.787         2.081
PREH2O_OCEAN      44.397              46.360            -1.963         2.246
PSI_200           -0.733              -0.625            -0.109         0.151
PS               995.929             996.058            -0.129         0.304
PSL             1010.641            1010.760            -0.119         0.295
QFLX               3.968               4.016            -0.048         0.118
SHFLX             17.183              17.154             0.029         1.358
SNOWHLND           0.000               0.000             0.000         0.000
SST               27.360              27.965            -0.605         0.665
STRESS_MAG         0.055               0.052             0.003         0.007
SWCF             -68.775             -68.123            -0.652         3.027
T_850            290.455             291.095            -0.640         0.671
TGCLDLWP         138.172             137.140             1.031         9.483
TGCLDIWP          12.011              11.726             0.285         0.961
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           299.152             299.751            -0.599         0.639
TS               300.107             300.712            -0.605         0.655
TS_LAND          298.672             299.295            -0.624         0.641
U_200              2.983               3.212            -0.229         1.067
VT_850             0.419               0.259             0.161         0.487
Z3_500            58.648              58.801            -0.153         0.153
