DIAG SET 1: JJA MEANS TROPICS (20N-20S)
 
TEST CASE: corey33 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2030-2069)
 
Variable          corey33        b.e11.TSREFC2.f09.g16.ccmi23.002        corey33        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM            29.765              29.169             0.595         2.691
RESSURF           -2.327              -2.870             0.543         6.033
SOLIN            389.195             389.195             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.514              -0.503            -0.011         0.786
CLDHGH            34.633              34.541             0.092         2.165
CLDLOW            31.898              31.680             0.217         1.891
CLDMED            16.747              16.422             0.325         2.208
CLDTOT            53.997              53.826             0.172         2.106
EKE_850           10.686              10.678             0.008         1.033
EP             8.512e-02           9.861e-02        -1.349e-02         0.742
FLNS              50.656              49.626             1.030         1.900
FLNSC             67.242              65.609             1.633         2.143
FLNT             245.714             247.022            -1.308         3.606
FLNTC            283.260             284.371            -1.111         1.501
FSDS             198.710             198.733            -0.023         4.577
FSDSC            276.160             275.112             1.047         1.346
FSNS             184.285             184.229             0.056         4.187
FSNSC            256.872             255.875             0.997         1.294
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       232.122             230.772             1.350         1.853
FSNT             275.479             276.192            -0.713         4.109
FSNTC            344.484             344.406             0.077         0.330
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            118.909             120.519            -1.609         6.508
LWCF              37.546              37.349             0.197         2.616
PRECT              4.011               4.052            -0.040         0.696
PRECT_LAND         3.508               3.406             0.102         0.416
PRECT_OCEAN        4.162               4.249            -0.087         0.763
PREH2O            43.372              45.175            -1.803         2.147
PREH2O_OCEAN      44.895              46.873            -1.979         2.319
PSI_200           -3.084              -2.964            -0.120         0.192
PS               997.378             997.450            -0.072         0.306
PSL             1012.125            1012.185            -0.060         0.296
QFLX               4.097               4.150            -0.054         0.168
SHFLX             17.046              16.953             0.093         1.708
SNOWHLND           0.000               0.000             0.000         0.000
SST               27.184              27.779            -0.595         0.662
STRESS_MAG         0.072               0.070             0.002         0.007
SWCF             -69.005             -68.215            -0.790         4.293
T_850            290.308             290.976            -0.668         0.711
TGCLDLWP         147.831             146.070             1.761        14.963
TGCLDIWP          11.727              11.491             0.235         1.393
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           299.008             299.623            -0.614         0.667
TS               299.899             300.513            -0.614         0.679
TS_LAND          298.337             299.034            -0.697         0.751
U_200              0.454               1.378            -0.924         1.400
VT_850             3.045               2.866             0.179         0.638
Z3_500            58.793              58.941            -0.147         0.148
