DIAG SET 1: MAM MEANS TROPICS (20N-20S)
 
TEST CASE: corey33 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2030-2069)
 
Variable          corey33        b.e11.TSREFC2.f09.g16.ccmi23.002        corey33        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM            56.967              56.030             0.937         2.660
RESSURF           23.693              23.686             0.006         5.195
SOLIN            412.713             412.713             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.582              -0.611             0.029         0.657
CLDHGH            37.748              37.539             0.210         2.384
CLDLOW            27.814              27.614             0.200         1.695
CLDMED            16.389              16.208             0.181         1.945
CLDTOT            53.013              52.758             0.256         1.944
EKE_850           10.346              10.354            -0.008         1.196
EP            -1.016e-01          -1.088e-01         7.154e-03         0.683
FLNS              52.542              51.610             0.931         1.714
FLNSC             68.206              66.733             1.473         2.014
FLNT             243.829             245.175            -1.345         3.709
FLNTC            283.769             284.831            -1.062         1.464
FSDS             222.591             222.413             0.178         4.094
FSDSC            295.691             294.866             0.825         0.985
FSNS             206.486             206.290             0.196         3.858
FSNSC            275.393             274.614             0.779         0.914
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       247.702             246.868             0.835         1.001
FSNT             300.797             301.205            -0.408         3.629
FSNTC            366.403             366.358             0.045         0.253
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            112.866             113.594            -0.728         5.962
LWCF              39.939              39.656             0.283         2.688
PRECT              4.014               4.048            -0.033         0.627
PRECT_LAND         4.312               4.287             0.026         0.433
PRECT_OCEAN        3.916               3.968            -0.053         0.678
PREH2O            43.577              45.346            -1.769         2.178
PREH2O_OCEAN      45.329              47.239            -1.910         2.328
PSI_200           -0.002               0.153            -0.155         0.203
PS               995.581             995.676            -0.096         0.290
PSL             1010.269            1010.353            -0.084         0.283
QFLX               3.913               3.939            -0.026         0.146
SHFLX             17.386              17.399            -0.014         1.713
SNOWHLND           0.000               0.000             0.000         0.000
SST               27.843              28.424            -0.581         0.656
STRESS_MAG         0.054               0.050             0.003         0.008
SWCF             -65.606             -65.153            -0.453         3.724
T_850            290.999             291.624            -0.625         0.660
TGCLDLWP         125.645             124.826             0.819        11.279
TGCLDIWP          11.892              11.652             0.240         1.309
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           299.636             300.212            -0.577         0.626
TS               300.669             301.257            -0.588         0.653
TS_LAND          299.522             300.155            -0.634         0.662
U_200              5.861               5.440             0.421         1.308
VT_850             0.375               0.184             0.190         0.512
Z3_500            58.674              58.821            -0.147         0.147
